Test No., Memory RAM usage [GB], Operating time [s], PASSED or FAILED ?
1,0.0230751,0.001973,PASSED
2,0.02314377,0.001316,FAILED
3,0.0231781,0.00138,PASSED
4,0.02318192,0.008029,FAILED
